age,workclass,education,education-num,marital-status,occupation,relationship,race,sex,hours-per-week,native-country,income
[50-50],State-gov,Some-college,[10-13],Married-civ-spouse,Adm-clerical,Husband,White,Male,[40-50],United-States,>50K
[50-50],Private,Bachelors,[10-13],Married-civ-spouse,Exec-managerial,Husband,White,Male,[40-50],United-States,>50K
[50-50],State-gov,Doctorate,[10-16],Married-civ-spouse,Prof-specialty,Husband,White,Male,[45-60],United-States,>50K
[50-50],Private,Some-college,[10-16],Married-civ-spouse,Sales,Husband,White,Male,[45-60],United-States,<=50K
[50-51],Self-emp-not-inc,7th-8th,[4-14],Married-civ-spouse,Farming-fishing,Husband,White,Male,[40-47],United-States,<=50K
[50-51],Private,HS-grad,[4-14],Married-civ-spouse,Prof-specialty,Husband,White,Male,[40-47],United-States,>50K
[50-51],Private,Masters,[4-14],Married-civ-spouse,Prof-specialty,Husband,White,Male,[40-47],United-States,>50K
[51-51],Private,Some-college,[10-12],Divorced,Sales,Not-in-family,White,Female,[45-45],United-States,>50K
[51-51],Private,Assoc-acdm,[10-12],Married-civ-spouse,Exec-managerial,Husband,White,Male,[45-45],United-States,>50K
[51-51],Private,Some-college,[9-10],Married-civ-spouse,Exec-managerial,Husband,White,Male,[45-48],United-States,<=50K
[51-51],Self-emp-not-inc,HS-grad,[9-10],Married-civ-spouse,Craft-repair,Husband,White,Male,[45-48],United-States,>50K
[51-51],Local-gov,7th-8th,[4-10],Married-civ-spouse,Transport-moving,Husband,White,Male,[40-40],United-States,<=50K
[51-51],Private,Some-college,[4-10],Widowed,Prof-specialty,Not-in-family,White,Female,[40-40],United-States,<=50K
[51-52],Self-emp-not-inc,Assoc-acdm,[8-13],Married-civ-spouse,Sales,Husband,White,Male,[30-45],United-States,>50K
[51-52],Private,12th,[8-13],Married-civ-spouse,Machine-op-inspct,Husband,White,Male,[30-45],United-States,>50K
[51-52],Private,Bachelors,[8-13],Married-civ-spouse,Exec-managerial,Husband,White,Male,[30-45],United-States,>50K
[52-52],Local-gov,Masters,[11-14],Never-married,Prof-specialty,Not-in-family,White,Male,[32-48],United-States,>50K
[52-52],Private,Assoc-voc,[11-14],Married-civ-spouse,Craft-repair,Husband,White,Male,[32-48],Poland,>50K
[52-53],State-gov,Assoc-acdm,[9-12],Married-civ-spouse,Sales,Husband,White,Male,[40-85],United-States,>50K
[52-53],Self-emp-inc,Some-college,[9-12],Divorced,Sales,Not-in-family,White,Male,[40-85],Cuba,>50K
[52-53],Self-emp-not-inc,HS-grad,[9-12],Married-civ-spouse,Farming-fishing,Husband,White,Male,[40-85],United-States,<=50K
[54-54],Local-gov,Assoc-voc,[10-11],Married-civ-spouse,Protective-serv,Husband,White,Male,[38-48],United-States,>50K
[54-54],Private,Some-college,[10-11],Divorced,Sales,Unmarried,White,Female,[38-48],United-States,<=50K
[54-54],Private,1st-4th,[2-12],Married-civ-spouse,Other-service,Husband,White,Male,[40-50],Mexico,<=50K
[54-54],Self-emp-inc,Some-college,[2-12],Married-civ-spouse,Transport-moving,Husband,White,Male,[40-50],United-States,>50K
[54-54],Self-emp-not-inc,Assoc-acdm,[2-12],Married-civ-spouse,Sales,Husband,White,Male,[40-50],United-States,>50K
[54-54],Private,9th,[5-14],Separated,Craft-repair,Unmarried,White,Male,[40-40],United-States,<=50K
[54-54],Private,Masters,[5-14],Divorced,Prof-specialty,Not-in-family,White,Female,[40-40],United-States,>50K
[54-54],Local-gov,HS-grad,[9-10],Married-civ-spouse,Craft-repair,Husband,White,Male,[40-40],United-States,>50K
[54-54],Private,Some-college,[9-10],Never-married,Exec-managerial,Not-in-family,White,Male,[40-40],United-States,>50K
[55-55],Self-emp-not-inc,HS-grad,[9-13],Married-civ-spouse,Sales,Husband,White,Male,[50-55],United-States,>50K
[55-55],Private,Bachelors,[9-13],Married-spouse-absent,Craft-repair,Unmarried,White,Female,[50-55],Ireland,<=50K
[55-56],Private,12th,[8-10],Married-civ-spouse,Prof-specialty,Husband,White,Male,[40-40],United-States,>50K
[55-56],Private,HS-grad,[8-10],Married-civ-spouse,Craft-repair,Husband,White,Male,[40-40],United-States,>50K
[55-56],Private,Some-college,[8-10],Married-civ-spouse,Prof-specialty,Husband,White,Male,[40-40],United-States,<=50K
[56-56],Private,Assoc-acdm,[9-12],Married-spouse-absent,Other-service,Not-in-family,White,Male,[25-40],Iran,<=50K
[56-56],Self-emp-not-inc,HS-grad,[9-12],Widowed,Adm-clerical,Unmarried,White,Female,[25-40],United-States,>50K
[56-57],Private,HS-grad,[9-13],Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,[40-44],United-States,>50K
[56-57],Private,Bachelors,[9-13],Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,[40-44],Philippines,>50K
[56-57],Private,Bachelors,[9-13],Married-civ-spouse,Adm-clerical,Husband,White,Male,[40-44],United-States,>50K
[58-58],State-gov,Doctorate,[9-16],Never-married,Exec-managerial,Not-in-family,White,Female,[43-60],United-States,>50K
[58-58],Private,HS-grad,[9-16],Married-civ-spouse,Transport-moving,Husband,White,Male,[43-60],United-States,>50K
[58-59],Self-emp-not-inc,Masters,[9-14],Divorced,Sales,Not-in-family,White,Male,[18-56],United-States,<=50K
[58-59],Private,HS-grad,[9-14],Widowed,Adm-clerical,Not-in-family,White,Female,[18-56],United-States,<=50K
[58-59],Private,Some-college,[9-14],Divorced,Machine-op-inspct,Not-in-family,White,Male,[18-56],United-States,<=50K
[59-60],Private,HS-grad,[9-9],Married-civ-spouse,Handlers-cleaners,Husband,White,Male,[40-45],United-States,>50K
[59-60],Private,HS-grad,[9-9],Married-civ-spouse,Craft-repair,Husband,White,Male,[40-45],United-States,>50K
[60-61],Private,Some-college,[10-12],Never-married,Prof-specialty,Unmarried,White,Male,[40-40],United-States,>50K
[60-61],Private,Assoc-acdm,[10-12],Married-civ-spouse,Sales,Husband,White,Male,[40-40],United-States,>50K
[61-61],Private,9th,[5-9],Married-civ-spouse,Craft-repair,Husband,White,Male,[40-60],United-States,<=50K
[61-61],Self-emp-not-inc,HS-grad,[5-9],Married-civ-spouse,Farming-fishing,Husband,White,Male,[40-60],United-States,<=50K
[61-62],Private,Some-college,[10-11],Married-civ-spouse,Adm-clerical,Wife,White,Female,[34-40],United-States,>50K
[61-62],Local-gov,Some-college,[10-11],Married-civ-spouse,Adm-clerical,Husband,White,Male,[34-40],United-States,<=50K
[61-62],State-gov,Assoc-voc,[10-11],Widowed,Exec-managerial,Unmarried,Black,Female,[34-40],United-States,<=50K
[63-64],Self-emp-inc,Prof-school,[4-15],Married-civ-spouse,Prof-specialty,Husband,White,Male,[35-40],United-States,>50K
[63-64],Self-emp-not-inc,7th-8th,[4-15],Married-civ-spouse,Craft-repair,Husband,White,Male,[35-40],United-States,<=50K
[64-66],Private,Bachelors,[4-13],Married-civ-spouse,Sales,Husband,White,Male,[5-40],United-States,>50K
[64-66],Private,11th,[4-13],Married-civ-spouse,Sales,Husband,White,Male,[5-40],United-States,<=50K
[64-66],Private,7th-8th,[4-13],Married-civ-spouse,Craft-repair,Husband,White,Male,[5-40],United-States,<=50K
[67-68],Self-emp-not-inc,7th-8th,[4-9],Married-civ-spouse,Craft-repair,Husband,White,Male,[40-40],United-States,<=50K
[67-68],Private,HS-grad,[4-9],Never-married,Sales,Not-in-family,White,Female,[40-40],United-States,<=50K
[69-90],Private,HS-grad,[9-14],Divorced,Other-service,Not-in-family,White,Female,[16-72],United-States,<=50K
[69-90],Private,Masters,[9-14],Never-married,Exec-managerial,Own-child,White,Female,[16-72],United-States,<=50K
[69-90],Self-emp-not-inc,Some-college,[9-14],Married-civ-spouse,Craft-repair,Husband,White,Male,[16-72],United-States,>50K
